Oryco1-1	8afa1eecc20674cd3859ca3243e3bddf	299	Pfam	PF14223	gag-polypeptide of LTR copia-type	21	201	1.7E-31	T	13-08-2026	IPR061502	Copia/RE1/RE2-like, N-terminal domain	-	-
Oryco1-1	8afa1eecc20674cd3859ca3243e3bddf	299	PANTHER	PTHR35317	OS04G0629600 PROTEIN	5	295	4.5E-56	T	13-08-2026	-	-	-	-
Tkm1	0844f5d7d4a07e495a45f1d1ddb2fe52	421	MobiDBLite	mobidb-lite	consensus disorder prediction	51	78	-	T	13-08-2026	-	-	-	-
Tkm1	0844f5d7d4a07e495a45f1d1ddb2fe52	421	MobiDBLite	mobidb-lite	consensus disorder prediction	1	18	-	T	13-08-2026	-	-	-	-
Tkm1	0844f5d7d4a07e495a45f1d1ddb2fe52	421	MobiDBLite	mobidb-lite	consensus disorder prediction	383	421	-	T	13-08-2026	-	-	-	-
Tkm1	0844f5d7d4a07e495a45f1d1ddb2fe52	421	MobiDBLite	mobidb-lite	consensus disorder prediction	383	394	-	T	13-08-2026	-	-	-	-
Tkm1	0844f5d7d4a07e495a45f1d1ddb2fe52	421	MobiDBLite	mobidb-lite	consensus disorder prediction	1	100	-	T	13-08-2026	-	-	-	-
Nabel	f34462eb91ffb2749ae25a1835293218	353	MobiDBLite	mobidb-lite	consensus disorder prediction	103	126	-	T	13-08-2026	-	-	-	-
Nabel	f34462eb91ffb2749ae25a1835293218	353	MobiDBLite	mobidb-lite	consensus disorder prediction	105	117	-	T	13-08-2026	-	-	-	-
Nabel	f34462eb91ffb2749ae25a1835293218	353	Pfam	PF03564	Protein of unknown function (DUF1759)	135	250	1.3E-17	T	13-08-2026	IPR005312	Domain of unknown function DUF1759	-	-
Nabel	f34462eb91ffb2749ae25a1835293218	353	PANTHER	PTHR47331	PHD-TYPE DOMAIN-CONTAINING PROTEIN	136	347	3.5E-13	T	13-08-2026	-	-	-	-
CoDi5.5	80d4cf4646ba7abc6818d7f18fe9821d	391	Coils	Coil	Coil	312	332	-	T	13-08-2026	-	-	-	-
pCretro3	ebecfeb1d611f4d022909d88dce740ec	259	Coils	Coil	Coil	117	137	-	T	13-08-2026	-	-	-	-
pCretro3	ebecfeb1d611f4d022909d88dce740ec	259	Pfam	PF14223	gag-polypeptide of LTR copia-type	29	188	4.7E-30	T	13-08-2026	IPR061502	Copia/RE1/RE2-like, N-terminal domain	-	-
pCretro3	ebecfeb1d611f4d022909d88dce740ec	259	PANTHER	PTHR47481	-	16	245	1.4E-12	T	13-08-2026	-	-	-	-
