CopiaSL_monotypic|Chr11_1s37	a85c1e3020bcf2eba8cb0e8b02ce1c24	302	PANTHER	PTHR37610	CCHC-TYPE DOMAIN-CONTAINING PROTEIN	1	204	3.5E-63	T	13-08-2026	-	-	-	-
CopiaSL_monotypic|Chr11_1s37	a85c1e3020bcf2eba8cb0e8b02ce1c24	302	Pfam	PF14244	Gag-polypeptide of LTR copia-type	7	49	2.0E-10	T	13-08-2026	IPR029472	Retrotransposon Copia-like, N-terminal	-	-
CopiaSL_monotypic|Chr10_2s65	739110ddce3c813429b5fe204473d27c	291	Pfam	PF14244	Gag-polypeptide of LTR copia-type	6	49	1.8E-10	T	13-08-2026	IPR029472	Retrotransposon Copia-like, N-terminal	-	-
CopiaSL_monotypic|Chr10_2s65	739110ddce3c813429b5fe204473d27c	291	PANTHER	PTHR37610	CCHC-TYPE DOMAIN-CONTAINING PROTEIN	1	230	2.3E-62	T	13-08-2026	-	-	-	-
GypsySL_08	d6260f42e776cbbe21901201053a035c	269	Pfam	PF19259	Ty3 transposon capsid-like protein	11	171	1.1E-5	T	13-08-2026	IPR045358	Ty3 transposon capsid-like protein	-	-
GypsySL_08	d6260f42e776cbbe21901201053a035c	269	MobiDBLite	mobidb-lite	consensus disorder prediction	204	225	-	T	13-08-2026	-	-	-	-
CopiaSL_monotypic|Chr10_1s50	b306cd220a7b3f0c478c9be4c5e96c52	380	MobiDBLite	mobidb-lite	consensus disorder prediction	273	283	-	T	13-08-2026	-	-	-	-
CopiaSL_monotypic|Chr10_1s50	b306cd220a7b3f0c478c9be4c5e96c52	380	MobiDBLite	mobidb-lite	consensus disorder prediction	266	286	-	T	13-08-2026	-	-	-	-
CopiaSL_monotypic|Chr10_1s50	b306cd220a7b3f0c478c9be4c5e96c52	380	Pfam	PF14244	Gag-polypeptide of LTR copia-type	25	72	8.0E-13	T	13-08-2026	IPR029472	Retrotransposon Copia-like, N-terminal	-	-
CopiaSL_monotypic|Chr10_1s50	b306cd220a7b3f0c478c9be4c5e96c52	380	Coils	Coil	Coil	332	338	-	T	13-08-2026	-	-	-	-
CopiaSL_monotypic|Chr10_1s50	b306cd220a7b3f0c478c9be4c5e96c52	380	PANTHER	PTHR37610	CCHC-TYPE DOMAIN-CONTAINING PROTEIN	19	237	3.2E-70	T	13-08-2026	-	-	-	-
CopiaSL_monotypic|Chr11_2s39	51e26af3e9d253464f03d5d858264d13	116	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	85	116	-	T	13-08-2026	-	-	-	-
CopiaSL_monotypic|Chr11_2s39	51e26af3e9d253464f03d5d858264d13	116	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	1	64	-	T	13-08-2026	-	-	-	-
CopiaSL_monotypic|Chr11_2s39	51e26af3e9d253464f03d5d858264d13	116	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	65	84	-	T	13-08-2026	-	-	-	-
CopiaSL_monotypic|Chr11_2s39	51e26af3e9d253464f03d5d858264d13	116	PANTHER	PTHR34222	GAG_PRE-INTEGRS DOMAIN-CONTAINING PROTEIN	13	112	5.2E-31	T	13-08-2026	-	-	-	-
